"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"1",44,1,28,0,2,"1",40454,26,217,"1"
"0",32,1,6,1,0,"0",28771,152,80,"0"
"0",47,1,35,0,1,"1",47576,124,46,"1"
"0",25,1,28,1,0,"0",76251,152,107,"0"
"1",56,1,28,0,1,"1",34617,124,71,"0"
"1",78,1,41,1,1,"0",49491,26,282,"0"
"1",54,1,28,0,1,"1",25205,26,283,"1"
"1",63,1,28,1,1,"0",61739,124,79,"0"
"1",77,1,37,1,1,"0",40651,124,183,"0"
"1",69,1,28,0,1,"1",29802,122,158,"0"
"0",21,1,17,0,0,"1",27756,160,243,"0"
"1",31,1,29,0,1,"1",28867,124,247,"0"
"0",48,1,46,0,2,"1",37379,11,139,"0"
"0",23,1,25,0,0,"0",2630,152,149,"0"
"1",23,1,41,1,0,"0",33307,152,147,"0"
"0",27,1,30,1,0,"0",33780,152,246,"0"
"1",51,1,19,0,1,"1",2630,124,228,"0"
"1",59,1,41,1,1,"0",28821,26,29,"0"
"0",45,1,28,0,1,"1",25604,26,85,"0"
"0",27,1,11,1,1,"0",26756,124,254,"0"
"0",56,1,15,0,1,"0",29132,154,229,"0"
"0",42,1,28,0,1,"1",40613,124,242,"0"
"1",42,1,8,0,1,"0",24224,154,66,"0"
"0",61,1,28,0,2,"1",2630,157,190,"1"
"1",29,1,28,1,0,"0",44742,152,85,"0"
"1",25,1,46,1,0,"0",39914,152,235,"0"
"0",25,1,27,0,0,"0",2630,152,167,"0"
"1",41,1,11,1,1,"0",35614,26,152,"0"
"1",25,1,28,1,0,"0",43516,152,150,"0"
"0",24,1,46,0,0,"1",27141,152,246,"0"
"1",40,1,48,0,2,"1",2630,26,86,"0"
"1",24,1,10,1,0,"0",35443,152,45,"0"
"1",39,1,28,0,1,"1",32807,157,186,"0"
"0",43,1,3,0,1,"1",31020,26,59,"1"
"1",22,1,13,1,0,"0",33413,152,104,"0"
"0",22,1,46,0,0,"1",31180,152,120,"0"
"0",49,1,31,0,1,"1",2630,124,32,"1"
"1",24,1,11,1,0,"0",27771,152,233,"0"
"1",71,1,28,0,1,"1",42881,124,105,"0"
"0",24,1,46,1,0,"0",21006,152,11,"0"
"0",40,1,29,0,1,"1",2630,157,77,"0"
"1",69,1,28,0,1,"1",30727,122,47,"0"
"1",21,1,8,1,0,"0",27076,160,278,"0"
"0",21,1,29,1,0,"0",29166,152,278,"0"
"0",23,1,8,1,0,"0",42644,152,257,"0"
"0",50,1,28,0,1,"1",68147,30,218,"0"
"1",50,1,28,1,1,"0",42024,122,224,"0"
"1",22,1,50,1,0,"0",36287,152,70,"0"
"0",49,1,29,0,1,"0",2630,156,265,"0"
"0",27,1,33,0,0,"1",2630,152,125,"0"
"0",22,1,46,1,0,"0",31506,160,113,"0"
"1",23,1,6,1,0,"0",24308,152,256,"0"
"1",22,1,46,1,0,"0",23810,152,220,"0"
"0",45,1,28,0,1,"1",27616,26,134,"0"
"1",25,1,16,1,0,"0",2630,152,178,"0"
"0",24,1,32,0,0,"1",2630,152,107,"0"
"0",23,1,37,0,0,"1",21214,152,126,"1"
"0",27,1,10,0,0,"1",24453,152,152,"0"
"1",73,1,29,0,2,"1",104002,3,132,"0"
"0",33,1,7,0,1,"0",2630,26,103,"0"
"0",25,1,28,1,0,"0",74371,152,295,"0"
"0",22,1,3,0,0,"1",23309,160,202,"0"
"0",48,1,27,0,1,"1",34900,124,153,"0"
"1",36,1,9,1,1,"0",41410,152,174,"0"
"1",25,1,15,1,0,"0",34661,160,207,"0"
"0",42,1,8,0,2,"1",34393,124,209,"0"
"1",40,1,4,0,1,"1",33466,124,120,"1"
"0",23,1,41,1,0,"0",32465,152,47,"0"
"0",43,1,28,1,1,"0",2630,124,248,"0"
"1",47,1,9,0,1,"1",37752,26,235,"0"
"0",22,1,47,1,0,"0",24233,152,231,"0"
"0",23,1,28,1,0,"0",49577,152,55,"0"
