"Gender","Age","Driving_License","Region_Code","Previously_Insured","Vehicle_Age","Vehicle_Damage","Annual_Premium","Policy_Sales_Channel","Vintage","Response"
"0",29,1,41,1,0,"0",27496,152,39,"0"
"0",24,1,33,0,0,"1",2630,160,176,"0"
"1",23,1,11,0,0,"1",23367,152,249,"0"
"0",41,1,15,1,1,"0",31409,14,221,"0"
"1",76,1,28,0,1,"1",36770,13,15,"0"
"1",44,1,28,0,1,"1",41852,163,60,"0"
"1",34,1,15,1,1,"0",38111,152,180,"0"
"0",38,1,35,1,1,"0",2630,152,153,"0"
"0",26,1,30,1,0,"0",31136,152,186,"0"
"0",25,1,15,0,0,"0",38667,152,12,"0"
"1",39,1,15,0,1,"1",37849,124,22,"0"
"1",41,1,28,0,1,"1",42268,154,36,"0"
"1",44,1,47,0,1,"1",46481,16,100,"0"
"1",54,1,26,0,1,"1",35493,22,74,"0"
"1",25,1,23,0,0,"1",23537,152,58,"0"
"0",20,1,36,0,0,"1",46275,160,281,"1"
"0",23,1,15,0,0,"1",41641,152,209,"0"
"0",24,1,7,1,0,"1",2630,160,68,"0"
"0",20,1,30,0,0,"1",33227,160,78,"0"
"1",29,1,41,1,0,"1",43046,163,222,"0"
"1",45,1,35,0,1,"1",2630,124,275,"0"
"1",27,1,8,1,0,"0",31428,122,77,"0"
"0",23,1,29,1,0,"0",37983,152,23,"0"
"1",49,1,28,0,1,"1",2630,124,88,"0"
"1",25,1,8,0,0,"1",54385,152,206,"0"
"1",70,1,25,1,1,"0",2630,124,230,"0"
"1",78,1,28,1,1,"0",42462,26,54,"0"
"0",48,1,36,1,1,"0",2630,124,189,"0"
"0",28,1,44,0,1,"1",37570,156,258,"1"
"0",22,1,36,1,0,"0",34527,152,67,"0"
"0",45,1,46,0,1,"1",22689,26,95,"0"
"1",52,1,0,0,1,"1",2630,124,89,"0"
"1",48,1,8,0,2,"1",44021,124,135,"0"
"1",42,1,37,0,1,"1",36532,124,268,"0"
"1",42,1,3,0,1,"1",32293,124,105,"1"
"0",26,1,26,1,0,"0",2630,152,142,"0"
"1",55,1,28,0,1,"1",49470,124,203,"0"
"1",22,1,11,1,0,"0",21126,152,272,"0"
"1",44,1,28,0,2,"1",42754,124,23,"1"
"1",42,1,45,0,1,"0",28759,25,102,"0"
"1",44,1,2,0,1,"0",34618,26,265,"0"
"1",23,1,41,1,0,"0",26285,152,91,"0"
"1",21,1,27,1,0,"0",45006,160,106,"0"
"1",32,1,50,0,0,"0",2630,1,287,"0"
"1",42,1,31,0,1,"1",2630,124,181,"0"
"0",43,1,28,0,1,"1",29578,31,203,"1"
"1",36,1,28,1,1,"0",47682,124,121,"0"
"1",21,1,13,1,0,"0",37710,152,30,"0"
"0",27,1,50,0,0,"1",2630,160,83,"0"
"1",49,1,46,1,1,"0",2630,30,198,"0"
"1",62,1,8,0,1,"1",47272,26,194,"0"
"0",38,1,10,0,1,"1",37039,124,103,"0"
"0",20,1,35,0,0,"1",34281,160,214,"0"
"1",25,1,28,1,0,"0",47031,26,151,"0"
"1",25,1,39,0,0,"0",2630,152,217,"0"
"0",54,1,41,0,1,"1",53581,124,199,"1"
"0",21,1,14,1,0,"0",36712,152,56,"0"
"0",26,1,16,0,0,"1",32232,152,238,"0"
"0",24,1,33,1,0,"0",20513,152,270,"0"
"1",24,1,15,1,0,"0",23267,152,143,"0"
"0",28,1,41,1,0,"0",37948,152,211,"0"
"1",42,1,8,0,1,"1",35600,124,213,"0"
"1",20,1,12,0,0,"1",82705,160,49,"0"
"1",77,1,50,1,1,"0",42327,124,10,"0"
"0",22,1,28,0,0,"1",48276,152,290,"0"
"0",35,1,28,0,1,"1",41029,125,94,"0"
"1",24,1,8,1,0,"0",35981,152,231,"0"
"0",26,1,47,1,0,"0",2630,152,296,"0"
"0",52,1,45,0,1,"1",23918,26,265,"0"
"1",20,1,28,1,0,"0",31367,160,255,"0"
"1",20,1,29,1,1,"0",2630,157,271,"0"
"1",42,1,38,0,1,"1",34193,156,116,"1"
"0",42,1,28,0,1,"1",39977,124,276,"0"
"0",31,1,28,0,1,"1",39423,124,190,"0"
"0",23,1,46,1,0,"0",2630,152,88,"0"
"0",22,1,30,1,0,"0",18202,152,107,"0"
"1",20,1,8,1,0,"0",38076,160,79,"0"
"1",57,1,28,0,1,"1",19618,122,96,"1"
"0",22,1,36,0,0,"1",2630,152,211,"0"
"1",31,1,24,0,1,"1",2630,156,257,"0"
"0",20,1,12,0,0,"1",2630,160,203,"0"
